,Market_id,Market_name,Market_state,State_code,FIPS_code,Lat,Long,County_code,Total_population,Non_White_pop,Diversity%,Millenial_pop,Millenial%,Median_income
0,1,Albany,NY ,36,36001,42.6526,	-73.7562,001,309381,72307,0.2337150633038228,91932,0.2971481765202129,30395
1,2,Atlanta, GA,13,13121, 	33.753746,	-84.386330,121,1010562,552714,0.5469372487784026,315955,0.3126527615326917,32192
2,3,Baltimore, MD,24,24510, 	39.299236,	-76.609383,510,621849,428817,0.6895838057148922,206786,0.3325341039384159,26090
3,4,Boise, ID,16,16015,	43.618881,	-116.215019,015,,,,,,
4,5,Boston, MA,25,25025, 	42.361145,	-71.057083,025,778121,346209,0.4449295161035366,312964,0.40220479848249824,29770
5,6,Buffalo, NY,36,36029,	42.880230,	-78.878738,029,922578,204284,0.22142734814834084,244764,0.26530439702659286,29181
6,7,Charlotte, NC,37,37119, 	35.227085,	-80.843124,119,1034070,446958,0.4322318605123444,320111,0.3095641494289555,31132
7,8,Chicago, IL,17,17031,	41.881832,	-87.623177,031,5238216,2286827,0.43656599880570024,1580354,0.30169698996757677,29951
8,9,Cincinnati, OH,39,39061,	39.103119,	-84.512016,061,807598,256893,0.31809514139460476,220814,0.27342068702498024,28142
9,10,Columbus, OH,39,39049,	39.983334,	-82.983330,049,1251722,398306,0.31820643880989546,402228,0.32133972239842395,30017
10,11,Dallas, TX,48,48113,	32.779167,	-96.808891,113,2553385,963165,0.37721103554693086,781368,0.30601260679451003,27208
11,12,Denver, CO,08,08031,	39.742043,	-104.991531,031,682545,156117,0.22872777619058085,254716,0.37318565076295335,34672
12,13,Detroit, MI,26,26163,	42.331429,	-83.045753,163,1759335,817368,0.46458917716068854,463984,0.26372691954630584,22829
13,14,Grand Rapids, MI,26,26081,	42.963795,	-85.670006,081,636369,128703,0.2022458667848371,182787,0.2872342933109564,26838
14,15,Harrisburg, PA,42,42043,	40.263680,	-76.890739,043,272983,75996,0.27839096207456143,68002,0.2491070872545177,30377
15,16,Hartford, CT,09,09003,	41.763710,	-72.685097,003,895841,251852,0.281134710288991,228706,0.2552975360582961,35197
16,17,Houston, TX,48,48225,	29.749907,	-95.358421,225,,,,,,
17,18,Indianapolis, IN,18,18053,	39.791000,	-86.148003,053,67979,7882,0.1159475720443078,17217,0.25326939201812326,21578
18,19,Jacksonville, FL,12,12031,	30.332184,	-81.655647,031,913010,355225,0.3890702182889563,275202,0.3014227664538176,27384
19,20,Las Vegas, NV,32,32003,	36.114647,	-115.172813,003,2114801,800065,0.3783169196534331,595825,0.2817404569035101,27607
20,21,Los Angeles, CA,06,06037,	34.052235,	-118.243683,037,10170292,4884940,0.48031462616805887,3063204,0.30119135222469523,26010
21,22,Louisville, KY,21,21111,	38.328732,	-85.764771,111,763623,207848,0.27218666802859526,208473,0.273005134732715,27710
22,23,Miami, FL,12,12086,	25.761681,	-80.191788,086,2693117,660236,0.24515682014557852,739147,0.2744578122673467,21472
23,24,Nashville, TN,47,47037,	36.174465,	-86.767960,037,678889,244928,0.3607776823604448,232720,0.34279536124462173,29507
24,25,New Orleans, LA,22,22071,	29.951065,	-90.071533,071,389617,255613,0.6560622354774047,128051,0.32865865709145137,24680
25,26,New York City, NY,36,36085,	40.730610,	-73.935242,085,474558,119699,0.25223260381238966,122874,0.2589230399656101,35911
26,27,Orlando, FL,12,12095 ,	28.538336,	-81.379234,095,1288126,458252,0.3557509125660067,413089,0.32068990145373977,25860
27,28,Philadelphia, PA,42,42101,	39.952583,	-75.165222,101,1567442,910291,0.5807493993398161,519813,0.3316314096470555,23249
28,29,Phoenix, AZ,04,04013,	33.448376,	-112.074036,013,4167947,910774,0.21851861360041286,1154964,0.2771062108035443,29556
29,30,Pittsburgh, PA,42,42003,	40.440624,	-79.995888,003,1230459,240332,0.19531898259104935,336678,0.27361984430200437,29730
30,31,Portland, OR,41,41051 ,	45.523064,	-122.676483,051,790294,166985,0.21129478396647325,271204,0.34316849172586406,28482
31,32,Raleigh, NC,37,37183,	35.787743,	-78.644257,183,1024198,341763,0.33368840790550264,299941,0.29285450664812857,35145
32,33,Richmond, VA,51,51760,	37.541290,	-77.434769,760,220289,121425,0.55120773166159,81848,0.3715482842992614,23413
33,34,Roanoke, VA,51,51770,	37.270969,	-79.941429,770,99897,35010,0.35046097480404814,28768,0.28797661591439183,23404
34,35,Sacramento, CA,06,06067,	38.590576,	-121.489906,067,1501335,603410,0.40191562842403594,434686,0.28953298231240865,28283
35,36,San Diego, CA,06,06073,	32.715736,	-117.161087,073,3299521,964141,0.29220635358889974,1031913,0.312746304690893,30311
36,37,San Francisco, CA,06,06075,	37.773972,	-122.431297,075,864816,455455,0.5266495994523691,324088,0.37474792325766404,44157
37,38,Seattle, WA,53,53033,	47.608013,	-122.335167,033,2117125,721286,0.34069126763889707,658557,0.3110619354076873,40353
38,39,Spokane, WA,53,53063,	47.658779,	-117.426048,063,490945,55542,0.1131328356536883,140279,0.28573261770666775,25432
39,40,St. Louis, MO,29,29510,	38.627003,	-90.199402,510,315685,167788,0.5315045060740928,111508,0.35322552544466795,25090
40,41,Syracuse, NY,36,36067,	43.088947,	-76.154480,067,468463,93373,0.1993177689593415,120707,0.2576660269861227,30492
41,42,Tampa, FL,12,12057,	27.964157,	-82.452606,057,1349050,403437,0.2990526666913754,385038,0.28541418034913457,27099
42,43,TotalUS,US,0,0,0,0,,,,,,,
