,Date,Quarter,Year,Market_id,AveragePrice,Total_vol,Small_vol,Large_vol,XLarge_vol,Type
0,12/27/2015,Q4,2015,1,1.33,64236.62,1036.74,54454.85,48.16,conventional
1,12/20/2015,Q4,2015,1,1.35,54876.98,674.28,44638.81,58.33,conventional
2,12/13/2015,Q4,2015,1,0.93,118220.22,794.7,109149.67,130.5,conventional
3,12/6/2015,Q4,2015,1,1.08,78992.15,1132.0,71976.41,72.58,conventional
4,12/25/2016,Q4,2016,1,1.52,73341.73,3202.39,58280.33,426.92,conventional
5,12/18/2016,Q4,2016,1,1.53,68938.53,3345.36,55949.79,138.72,conventional
6,12/11/2016,Q4,2016,1,1.49,71777.85,2323.39,56545.79,86.65,conventional
7,12/4/2016,Q4,2016,1,1.48,113031.96,6530.78,99746.05,50.84,conventional
8,12/31/2017,Q4,2017,1,1.47,113514.42,2622.7,101135.53,20.25,conventional
9,12/24/2017,Q4,2017,1,1.45,77039.09,2811.71,58592.23,19.06,conventional
10,12/17/2017,Q4,2017,1,1.43,70677.56,2578.95,50811.52,79.18,conventional
11,12/10/2017,Q4,2017,1,1.29,92325.53,3220.05,75147.56,104.36,conventional
12,12/3/2017,Q4,2017,1,1.39,139970.0,3772.0,126551.0,136.0,conventional
13,12/27/2015,Q4,2015,1,1.83,989.55,8.16,88.59,0.0,organic
14,12/20/2015,Q4,2015,1,1.89,1163.03,30.24,172.14,0.0,organic
15,12/13/2015,Q4,2015,1,1.85,995.96,10.44,178.7,0.0,organic
16,12/6/2015,Q4,2015,1,1.84,1158.42,90.29,104.18,0.0,organic
17,12/25/2016,Q4,2016,1,1.93,1714.92,77.5,250.13,0.0,organic
18,12/18/2016,Q4,2016,1,1.86,1472.84,111.34,198.07,0.0,organic
19,12/11/2016,Q4,2016,1,1.9,1886.63,42.26,156.72,0.0,organic
20,12/4/2016,Q4,2016,1,1.97,1364.73,100.01,99.17,0.0,organic
21,12/31/2017,Q4,2017,1,1.46,3463.85,18.12,198.16,0.0,organic
22,12/24/2017,Q4,2017,1,1.58,3694.13,31.68,327.39,0.0,organic
23,12/17/2017,Q4,2017,1,1.43,3513.77,37.46,209.3,0.0,organic
24,12/10/2017,Q4,2017,1,1.45,3779.98,18.04,262.14,0.0,organic
25,12/3/2017,Q4,2017,1,1.44,3577.04,118.55,306.55,0.0,organic
26,12/27/2015,Q4,2015,2,0.99,386100.49,292097.36,27350.92,297.9,conventional
27,12/20/2015,Q4,2015,2,1.08,331377.53,251774.15,20702.45,103.06,conventional
28,12/13/2015,Q4,2015,2,0.96,417772.47,324932.28,31019.08,275.8,conventional
29,12/6/2015,Q4,2015,2,1.07,357636.82,283024.01,23740.85,181.92,conventional
30,12/25/2016,Q4,2016,2,0.91,502787.29,205855.78,86015.43,184.62,conventional
31,12/18/2016,Q4,2016,2,0.94,463483.07,191753.03,80565.05,283.15,conventional
32,12/11/2016,Q4,2016,2,1.06,422026.71,186343.72,56200.04,171.64,conventional
33,12/4/2016,Q4,2016,2,1.03,475815.02,210602.15,93414.72,207.15,conventional
34,12/31/2017,Q4,2017,2,0.95,649352.59,341061.46,41818.27,961.18,conventional
35,12/24/2017,Q4,2017,2,1.11,444781.87,212413.82,30834.68,1112.56,conventional
36,12/17/2017,Q4,2017,2,1.0,484326.63,231133.4,33481.83,915.94,conventional
37,12/10/2017,Q4,2017,2,0.99,543619.28,274345.62,38433.88,1302.16,conventional
38,12/3/2017,Q4,2017,2,1.07,504933.0,263807.0,32457.0,1390.0,conventional
39,12/27/2015,Q4,2015,2,1.84,3195.0,1366.31,1652.5,0.0,organic
40,12/20/2015,Q4,2015,2,1.89,3973.64,2000.64,1925.52,0.0,organic
41,12/13/2015,Q4,2015,2,1.78,3610.91,1589.39,1581.83,0.0,organic
42,12/6/2015,Q4,2015,2,1.48,4400.25,1358.53,1735.98,0.0,organic
43,12/25/2016,Q4,2016,2,1.76,5456.42,895.62,2981.24,0.0,organic
44,12/18/2016,Q4,2016,2,1.19,9420.9,824.62,2790.3,0.0,organic
45,12/11/2016,Q4,2016,2,1.06,13253.78,916.64,2803.26,0.0,organic
46,12/4/2016,Q4,2016,2,1.22,9990.29,738.64,2945.08,0.0,organic
47,12/31/2017,Q4,2017,2,1.28,17217.91,331.16,3474.3,0.0,organic
48,12/24/2017,Q4,2017,2,1.59,15311.1,443.44,4328.48,0.0,organic
49,12/17/2017,Q4,2017,2,1.59,11548.46,343.83,3504.07,0.0,organic
50,12/10/2017,Q4,2017,2,1.63,13300.51,332.1,3555.77,0.0,organic
51,12/3/2017,Q4,2017,2,1.62,10609.29,380.9,3883.18,0.0,organic
52,12/27/2015,Q4,2015,3,1.17,596819.4,40450.49,394104.02,17353.79,conventional
53,12/20/2015,Q4,2015,3,1.11,642682.4,44741.37,434590.82,19112.14,conventional
54,12/13/2015,Q4,2015,3,1.15,619509.33,44400.26,399851.59,24291.2,conventional
55,12/6/2015,Q4,2015,3,1.04,649141.25,51129.29,453586.5,25760.49,conventional
56,12/25/2016,Q4,2016,3,1.47,550947.61,50818.61,344699.92,8529.79,conventional
57,12/18/2016,Q4,2016,3,1.21,691008.74,57866.09,487109.62,8751.94,conventional
58,12/11/2016,Q4,2016,3,1.35,599161.08,49240.17,375437.86,9977.23,conventional
59,12/4/2016,Q4,2016,3,1.41,566956.23,52095.95,345132.36,10049.72,conventional
60,12/31/2017,Q4,2017,3,1.15,849487.62,66628.66,519460.2,4920.46,conventional
61,12/24/2017,Q4,2017,3,1.41,624268.68,66338.96,363593.22,2679.6,conventional
62,12/17/2017,Q4,2017,3,1.44,628735.17,67126.05,369810.83,2933.76,conventional
63,12/10/2017,Q4,2017,3,1.13,940850.93,103332.38,546809.87,3979.72,conventional
64,12/3/2017,Q4,2017,3,1.43,658939.0,69819.0,407522.0,3789.0,conventional
65,12/27/2015,Q4,2015,3,1.51,14201.42,363.5,5263.2,318.34,organic
66,12/20/2015,Q4,2015,3,1.67,9296.03,504.11,4702.33,419.14,organic
67,12/13/2015,Q4,2015,3,1.72,12403.85,550.57,4510.99,337.45,organic
68,12/6/2015,Q4,2015,3,1.46,9717.55,432.82,4364.69,444.69,organic
69,12/25/2016,Q4,2016,3,1.83,17061.38,802.28,5202.23,232.29,organic
70,12/18/2016,Q4,2016,3,1.86,14030.99,968.91,5004.91,302.95,organic
71,12/11/2016,Q4,2016,3,1.97,16245.8,820.43,6367.66,229.66,organic
72,12/4/2016,Q4,2016,3,2.15,13989.25,947.03,6090.79,266.84,organic
73,12/31/2017,Q4,2017,3,1.53,40942.37,1177.45,7959.34,122.36,organic
74,12/24/2017,Q4,2017,3,1.56,35540.32,919.11,5886.28,89.47,organic
75,12/17/2017,Q4,2017,3,1.58,34581.64,1256.76,7053.3,50.28,organic
76,12/10/2017,Q4,2017,3,1.51,41451.11,1979.76,6934.12,73.99,organic
77,12/3/2017,Q4,2017,3,1.58,38753.69,1415.83,7869.09,76.35,organic
78,12/27/2015,Q4,2015,4,0.97,62909.69,30482.25,2971.94,5894.4,conventional
79,12/20/2015,Q4,2015,4,1.03,57504.05,25628.22,2546.09,7393.84,conventional
80,12/13/2015,Q4,2015,4,0.99,58461.05,27148.61,2985.73,6458.44,conventional
81,12/6/2015,Q4,2015,4,0.71,95295.34,35590.98,12526.5,4086.26,conventional
82,12/25/2016,Q4,2016,4,1.03,71168.92,27464.22,2892.64,6681.19,conventional
