Date,Quarter,Year,AveragePrice,Total_vol,Small_vol,Large_vol,XLarge_vol,Type
12/27/2015,Q4,2015,0.95,27297983.67,9626901.09,10197890.05,1184340.09,conventional
12/20/2015,Q4,2015,0.98,25083647.17,8710021.76,9329861.85,1201020.01,conventional
12/13/2015,Q4,2015,0.93,28041335.38,9855053.66,10805838.91,1016163.17,conventional
12/6/2015,Q4,2015,0.89,28800396.57,9405464.36,12160838.62,931830.63,conventional
12/25/2016,Q4,2016,1,30287853.7,9255125.2,10282925.61,541972.42,conventional
12/18/2016,Q4,2016,0.96,29583882.61,9394065.91,10339168.2,427872.42,conventional
12/11/2016,Q4,2016,0.98,30093540.7,9009996.11,9967220.02,403047.93,conventional
12/4/2016,Q4,2016,1,31621221.9,11043350.9,9908982.97,428009.84,conventional
12/31/2017,Q4,2017,0.98,38267341.61,13109617.49,13197460.59,644837.54,conventional
12/24/2017,Q4,2017,1.18,29102349.33,10027319.18,8964247.34,546373.81,conventional
12/17/2017,Q4,2017,1.07,30757767.03,10704214.26,9934618.43,574089.32,conventional
12/10/2017,Q4,2017,1.03,35634913.01,11943914.54,11659897.51,398348.55,conventional
12/3/2017,Q4,2017,1.09,33824253,11746980,10905968,583801,conventional
12/27/2015,Q4,2015,1.52,549787.59,89709.92,206198.62,5836.04,organic
12/20/2015,Q4,2015,1.53,531478.24,93849.3,205909.13,8733.11,organic
12/13/2015,Q4,2015,1.43,624300.31,91837.92,222314.6,11645.54,organic
12/6/2015,Q4,2015,1.52,514112.96,90203.21,212582.74,4066.09,organic
12/25/2016,Q4,2016,1.34,914035.42,93875.25,250138.66,3415.27,organic
12/18/2016,Q4,2016,1.43,797042.27,97661.23,248598.14,4926.76,organic
12/11/2016,Q4,2016,1.42,856795.63,93027.82,248303.87,6116.44,organic
12/4/2016,Q4,2016,1.56,832767.55,106472.53,242055.86,2918.28,organic
12/31/2017,Q4,2017,1.52,1243940.09,120545.76,248123.56,1279.48,organic
12/24/2017,Q4,2017,1.64,1179930.12,103199.55,247166.08,1143.57,organic
12/17/2017,Q4,2017,1.57,1148617.16,94905.86,248498.73,982.45,organic
12/10/2017,Q4,2017,1.54,1217680.36,94279.26,258003.98,1003.84,organic
12/3/2017,Q4,2017,1.62,1119325,99317.88,269450.85,1108.2,organic
11/29/2015,Q4,2015,0.99,22617999.38,8094803.56,9003178.41,731008.41,conventional
11/22/2015,Q4,2015,0.96,25114228.11,8571849.8,10389879.59,804662.83,conventional
11/15/2015,Q4,2015,0.92,28597756.27,9907981.27,11699787.51,815641.54,conventional
11/8/2015,Q4,2015,0.97,28485715.97,9991330.31,12199657.4,1143214.59,conventional
11/1/2015,Q4,2015,0.97,31047484.27,10138703.85,14229286.82,1410928.18,conventional
11/27/2016,Q4,2016,1.21,22923062.65,7891487.94,7337341.77,344475.9,conventional
11/20/2016,Q4,2016,1.27,24989702.75,8531160.52,8033510.82,407567.78,conventional
11/13/2016,Q4,2016,1.36,24075126.49,8235135.43,7759608.21,477520.95,conventional
11/6/2016,Q4,2016,1.44,22534698.38,7804252.91,7126936.31,505349.44,conventional
11/26/2017,Q4,2017,1.24,24686675,9175316,7312239,379637,conventional
11/19/2017,Q4,2017,1.17,29253484,11173132,7847059,416186,conventional
11/12/2017,Q4,2017,1.15,32336225,11512837,9994648,416643,conventional
11/5/2017,Q4,2017,1.19,32051594.24,11042128.27,9774987.75,400250.97,conventional
11/29/2015,Q4,2015,1.5,507830.81,79215.51,208733.32,3749.48,organic
11/22/2015,Q4,2015,1.49,584276.79,95222.99,249686.75,3686.28,organic
11/15/2015,Q4,2015,1.6,511347.26,109494.19,225216.4,3599.71,organic
11/8/2015,Q4,2015,1.54,605197.12,167254.55,249160.89,4458.45,organic
11/1/2015,Q4,2015,1.47,647789.17,113380.29,262559.59,6583.03,organic
11/27/2016,Q4,2016,1.64,761675.87,100240.54,198874.09,3381.69,organic
11/20/2016,Q4,2016,1.63,860320.59,110737.55,233518.72,3847.05,organic
11/13/2016,Q4,2016,1.7,863948.15,110018.79,257268.83,3669.98,organic
11/6/2016,Q4,2016,1.68,897671.29,117317.9,266018.89,5049.63,organic
11/26/2017,Q4,2017,1.72,957800.72,77759.93,204612.15,978.29,organic
11/19/2017,Q4,2017,1.77,967886.13,88110.88,213230.36,834.3,organic
11/12/2017,Q4,2017,1.81,1044591.43,93312.94,217612.9,1074.64,organic
11/5/2017,Q4,2017,1.82,1068530.09,88073.16,244925.18,1059.63,organic
10/25/2015,Q4,2015,1.04,26240072.11,8683958.8,11410478.34,1188118.95,conventional
10/18/2015,Q4,2015,0.99,29375123.6,9162094.14,14082539.61,1220251.19,conventional
10/11/2015,Q4,2015,1,29216198.15,8828340.53,13326573.45,1614282.73,conventional
10/4/2015,Q4,2015,1.02,28243505.52,8353619.97,13775651.69,1209045.07,conventional
10/30/2016,Q4,2016,1.43,21009730.21,7100458.82,6852046.35,453145.26,conventional
10/23/2016,Q4,2016,1.34,24753513.95,7579629.06,8104522.26,452383.96,conventional
10/16/2016,Q4,2016,1.3,27707046.82,8810664.45,8855072.75,447291.48,conventional
10/9/2016,Q4,2016,1.27,28857581.98,9552502.48,9579338.98,490956.88,conventional
10/2/2016,Q4,2016,1.23,29615008.49,9534915.56,9123897.74,490123.01,conventional
10/29/2017,Q4,2017,1.29,30237911.23,10596902.91,9803569.58,424755.66,conventional
10/22/2017,Q4,2017,1.44,26706971.51,9607586.96,8761192.74,409598.47,conventional
10/15/2017,Q4,2017,1.58,25031589.09,8769357.86,8534404.17,392119.12,conventional
10/8/2017,Q4,2017,1.65,24397166.19,8911144.2,7609509.9,391832.89,conventional
10/1/2017,Q4,2017,1.64,24610645.21,8342407.59,8354516.32,384794.18,conventional
10/25/2015,Q4,2015,1.62,560830.54,109006.18,244222.97,6181.13,organic
10/18/2015,Q4,2015,1.71,518034.86,108697.64,224038.49,5199.73,organic
10/11/2015,Q4,2015,1.69,519892.67,93015.27,230653.61,4792.06,organic
10/4/2015,Q4,2015,1.72,557392.73,95393.58,269237.06,4093.2,organic
10/30/2016,Q4,2016,1.93,647723.55,123815.8,279842.5,5661.78,organic
10/23/2016,Q4,2016,1.63,699763.35,131203.12,241758.21,4363.02,organic
10/16/2016,Q4,2016,1.5,815859.49,114303.56,243788.95,4732.27,organic
10/9/2016,Q4,2016,1.52,878367.41,127092.78,266687.47,5103.42,organic
10/2/2016,Q4,2016,1.71,790926.03,131467.24,272293.48,4904.25,organic
10/29/2017,Q4,2017,1.84,1123703.61,88668.95,218858.34,1150.03,organic
10/22/2017,Q4,2017,1.82,1180823.79,89301.75,229689.25,1309.82,organic
10/15/2017,Q4,2017,1.85,1172057.19,103557.18,218881.54,1369.62,organic
10/8/2017,Q4,2017,1.9,1164140.49,100744.58,231652.64,1224.99,organic
10/1/2017,Q4,2017,1.95,1072521.35,100319.38,230053.24,1966.94,organic
9/27/2015,Q3,2015,1.03,27753508.14,8454208.8,13819912.63,1061979.37,conventional
