County,HasAvocadoFarm
Alameda County,1
Alpine County,0
Amador County,0
Butte County,0
Calaveras County,0
Colusa County,0
Contra Costa County,0
Del Norte County,0
El Dorado County,0
Fresno County,0
Glenn County,0
Humboldt County,0
Imperial County,0
Inyo County,0
Kern County,0
Kings County,0
Lake County,0
Lassen County,0
Los Angeles County,0
Madera County,0
Marin County,0
Mariposa County,0
Mendocino County,0
Merced County,0
Modoc County,0
Mono County,0
Monterey County,1
Napa County,0
Nevada County,0
Orange County,0
Placer County,0
Plumas County,0
Riverside County,1
Sacramento County,0
San Benito County,0
San Bernardino County,1
San Diego County,1
San Francisco County,0
San Joaquin County,0
San Luis Obispo County,1
San Mateo County,0
Santa Barbara County, 1
Santa Clara County,0
Santa Cruz County,0
Shasta County,0
Sierra County,0
Siskiyou County,0
Solano County,0
Sonoma County,0
Stanislaus County,0
Sutter County,0
Tehama County,0
Trinity County,0
Tulare County,1
Tuolumne County,0
Ventura County, 1
Yolo County,0
Yuba County,0
