County,HasAvocadoFarm
Alachua,1
Baker,1
Bay,0
Bradford,0
Brevard,1
Broward,1
Calhoun,0
Charlotte,0
Citrus,1
Clay,0
Collier,0
Columbia,0
Dade,1
Desoto,1
Dixie,1
Duval,1
Escambia,1
Flagler,0
Franklin,0
Gadsden,0
Gilchrist,1
Glades,0
Gulf,0
Hamilton,1
Hardee,0
Hendry,0
Hernando,1
Highlands,1
Hillsborough,1
Holmes,1
Indian River,0
Jackson,0
Jefferson,1
Lafayette,0
Lake,1
Lee,1
Leon,1
Levy,1
Liberty,0
Madison,0
Manatee,1
Marion,1
Martin,0
Monroe,0
Nassau,1
Okaloosa,1
Okeechobee,0
Orange,1
Osceola,1
Palm Beach,1
Pasco,1
Pinellas,0
Polk,1
Putnam,1
Santa Rosa,0
Sarasota,1
Seminole,0
St. Johns,0
St. Lucie,0
Sumter,1
Suwannee,1
Taylor,0
Union,1
Volusia,1
Wakulla,0
Walton,1
Washington,1
