Result,Location,Website,Products/Services,County
A.L.L. Blueberries LLC,"Arcadia, FL 34266",Visit Website,,Sarasota
Abshier Blueberry Farm,"Belleview, FL 34420",Visit Website,,Marion
Akers of Strawberries,"Baker, FL 32531",Visit Website,,Okaloosa
Al & Linda Steichen’s Blueberries,"White Springs, FL 32096",,,Hamilton
Albritton Fruit Farm,"Sarasota, FL 34240",Visit Website,,Sarasota
Allen's Farm,"Old Town, FL 32680",,,Dixie
Allison Family Farm,"Crescent City, FL 32112",Visit Website,,Putnam
Arthur Family Farm,"Morriston, FL 32668",,,Levy
Atwood Family Farms,"Eustis, FL 32736",Visit Website,,Lake
Atwood Family Farms,"Eustis, FL 32736",Visit Website,,Lake
Aunt Zelma’s Blueberries,"Island Grove, FL 32654",Visit Website,,Alachua
B&G Blueberries,"Fort McCoy, FL 32134",,,Marion
Baker U-Pick Blueberries,"Baker, FL 32531",Visit Website,,Okaloosa
Baumer's Fruit,"Trenton, FL 32693",,,Gilchrist
Beasley Farms,"Brooksville, FL 34601",Visit Website,,Hernando
Beck Brothers Blueberries,"Windermere, FL 34786",Visit Website,,Orange
Bedner's Farm Fresh Market,"Boynton Beach, FL 33473",Visit Website,,Palm Beach
Bekemeyer Family Farms,"Winter Garden, FL 34787",Visit Website,,Orange
Bernetallo Farms,"Homestead, FL 33031",,,Miami-Dade
Berry Bay Farm,"Waldo, FL 32694",Visit Website,,Alachua
Berry Kingdom,"Brooksville, FL 34602",Visit Website,,Hernando
Bette’s Blues Blueberry Farms,"Citrus Springs, FL 34433",Visit Website,,Citrus
Beulah Berries,"Beulah, FL 32526",Visit Website,,Escambia
Blu By U Blueberry Farm,"Jacksonville, FL 32234",Visit Website,,Duval
Blue Bayou Farms,"Yalaha, FL 34797",Visit Website,,
Blue Monkey Farms,"Plant City, FL 33567",Visit Website,,
Blue Sky Farm,"Monticello, FL 32344",Visit Website,,
Blueberry Blessings,"Hudson, FL 34669",Visit Website,,
Blueberry Cottage Farms,"Lithia, FL 33575",Visit Website,,
Blueberry Hill Farm,"Clermont, FL 34714",Visit Website,,
Blueberry Ranch,"Yulee, FL 32097",Visit Website,,
Blueberry Springs,"Wacissa, FL 32344",,,
BlueYouth Blueberries,"Odessa, FL 33556",Visit Website,,
Bob Roth's New River Groves,"Davie, FL 33314",Visit Website,,
"Bob's Berries, LLC","Riverview, FL 33569",Visit Website,,
Bob’s Blueberry Farm,"Hudson, FL 34669",Visit Website,,
Brad's Organic Blueberries,"Bronson, FL 32621",,,
Bramble Creek Farms,"Brooksville, FL 34602",Visit Website,,
Brooksville Ridge Blueberries,"Brooksville, FL 34602",Visit Website,,
Brown's Farm,"Orange Heights, FL 32640",Visit Website,,
C&J's Blueberry Vineyard,"Live Oak, FL 32060",Visit Website,,
C&W Farms of Central Florida,"Lakeland, FL 33811",Visit Website,,
Center Hill Berry Patch,"Center Hill, FL 33514",Visit Website,,
Claire Berries Blueberry Farm,"Orlando, FL 32820",Visit Website,,
Conner's A-maize-ing Acres,"Hilliard, FL 32046",Visit Website,,
Copeland Nursery,"Clemont, FL 34711",Visit Website,,
Crown Jewel Farms,"Lake Wales, FL 33898",Visit Website,,
D&S Blueberries/Upicktopia,"Masaryktown, FL 34604",Visit Website,,
Dade City Farms,"Dade City, FL 33523",Visit Website,,
Deep Spring Farm,"Alachua, FL 32615",Visit Website,,
Deer Park Peaches,"St. Cloud, FL 34773",Visit Website,,
Dooley Groves Country Farm Market in the Grove,"Ruskin, FL 33570",Visit Website,,
Double C Bar Ranch Blueberry Farm,"Kenansville, FL 34739",Visit Website,,
Dowless Blueberries,"Jacksonville, FL 32244",,,
English Lake Farm,"Fort Ogden, FL 34267",Visit Website,,
Ergle Farms,"Dade City, FL 33523",Visit Website,,
Ever After Farms,"Mims, FL 32754",Visit Website,,
Fancy Farms U-Pick,"Plant City, FL 33566",Visit Website,,
Fancy Farms U-Pick,"Plant City, FL 33566",Visit Website,,
Far Reach Ranch's Heavenly Blueberries,"Tavares, FL 32778",Visit Website,,
Farmer Mike’s U-Pick,"Bonita Springs, FL 34135",Visit Website,,
Favorite Farms,"Dover, FL 33527",Visit Website,,
Florida Best Blueberry Farm,"Inverness, FL 34450",Visit Website,,
Florida Sweet Brand Peaches,"Arcadia, FL 34266",Visit Website,,
Flyin' D Ranch,"Laurel Hill, FL 32567",,,
Fresh Gardens,"Homestead, FL 33030",Visit Website,,
Fresh Gardens,"Homestead, FL 33030",Visit Website,,
Gainer Blueberry Farm,"Chipley, FL 32428",Visit Website,,
Graham's U-Pick Peaches Farm,"Umatilla, FL 32784",Visit Website,,
