Result,Location,Website,Products/Services,County
A.L.L. Blueberries LLC,"Alachua, FL 32615",Visit Website,,Alachua
Abshier Blueberry Farm,"Arcadia, FL 34266",Visit Website,,Alachua
Akers of Strawberries,"Arcadia, FL 34266",Visit Website,,Alachua
Al & Linda Steichen’s Blueberries,"Arcadia, FL 34266",,,Alachua
Albritton Fruit Farm,"Baker, FL 32531",Visit Website,,Alachua
Allen's Farm,"Baker, FL 32531",,,Alachua
Allison Family Farm,"Baker, FL 32531",Visit Website,,Baker
Arthur Family Farm,"Baker, FL 32531",,,Brevard
Atwood Family Farms,"Bartow, FL 33830",Visit Website,,Brevard
Atwood Family Farms,"Belleview, FL 34420",Visit Website,,Broward
Aunt Zelma’s Blueberries,"Beulah, FL 32526",Visit Website,,Citrus
B&G Blueberries,"Bonifay, FL 32425",,,Citrus
Baker U-Pick Blueberries,"Bonita Springs, FL 34135",Visit Website,,Citrus
Baumer's Fruit,"Boynton Beach, FL 33473",,,DeSoto
Beasley Farms,"Bradenton, FL 34211",Visit Website,,Duval
Beck Brothers Blueberries,"Bronson, FL 32621",Visit Website,,Duval
Bedner's Farm Fresh Market,"Brooksville, FL 34601",Visit Website,,Duval
Bekemeyer Family Farms,"Brooksville, FL 34601",Visit Website,,Duval
Bernetallo Farms,"Brooksville, FL 34602",,,Duval
Berry Bay Farm,"Brooksville, FL 34602",Visit Website,,Escambia
Berry Kingdom,"Brooksville, FL 34602",Visit Website,,Gilchrist
Bette’s Blues Blueberry Farms,"Brooksville, FL 34604",Visit Website,,Hamilton
Beulah Berries,"Center Hill, FL 33514",Visit Website,,Hernando
Blu By U Blueberry Farm,"Chipley, FL 32428",Visit Website,,Hernando
Blue Bayou Farms,"Citra, FL 32113",Visit Website,,Hernando
Blue Monkey Farms,"Citrus Springs, FL 34433",Visit Website,,Hernando
Blue Sky Farm,"Clemont, FL 34711",Visit Website,,Hernando
Blueberry Blessings,"Clemont, FL 34715",Visit Website,,Hernando
Blueberry Cottage Farms,"Clermont, FL 34714",Visit Website,,Highlands
Blueberry Hill Farm,"Clermont, FL 34714",Visit Website,,Hillsborough
Blueberry Ranch,"Crescent City, FL 32112",Visit Website,,Hillsborough
Blueberry Springs,"Dade City, FL 33523",,,Hillsborough
BlueYouth Blueberries,"Dade City, FL 33523",Visit Website,,Hillsborough
Bob Roth's New River Groves,"Dade City, FL 33525",Visit Website,,Hillsborough
"Bob's Berries, LLC","Davie, FL 33314",Visit Website,,Hillsborough
Bob’s Blueberry Farm,"De Leon Springs, FL 32130",Visit Website,,Hillsborough
Brad's Organic Blueberries,"DeFuniak Springs, FL 32433",,,Hillsborough
Bramble Creek Farms,"Delray Beach, FL 33484",Visit Website,,Holmes
Brooksville Ridge Blueberries,"Doral, FL 33178",Visit Website,,Jefferson
Brown's Farm,"Dover, FL 33527",Visit Website,,Jefferson
C&J's Blueberry Vineyard,"Dover, FL 33527",Visit Website,,Jefferson
C&W Farms of Central Florida,"Dover, FL 33527",Visit Website,,Jefferson
Center Hill Berry Patch,"Dundee, FL 33838",Visit Website,,Lake
Claire Berries Blueberry Farm,"Eustis, FL 32736",Visit Website,,Lake
Conner's A-maize-ing Acres,"Eustis, FL 32736",Visit Website,,Lake
Copeland Nursery,"Eustis, FL 32736",Visit Website,,Lake
Crown Jewel Farms,"Fort McCoy, FL 32134",Visit Website,,Lake
D&S Blueberries/Upicktopia,"Fort Ogden, FL 34267",Visit Website,,Lake
Dade City Farms,"Ft Myers, FL 33193",Visit Website,,Lake
Deep Spring Farm,"Gainesville, FL 32653",Visit Website,,Lake
Deer Park Peaches,"Glen Saint Mary, FL 32040",Visit Website,,Lake
Dooley Groves Country Farm Market in the Grove,"Groveland, FL 34736",Visit Website,,Lake
Double C Bar Ranch Blueberry Farm,"Groveland, FL 34736",Visit Website,,Lake
Dowless Blueberries,"Haines City, FL 33844",,,Lake
English Lake Farm,"Haines City, FL 33844",Visit Website,,Lake
Ergle Farms,"Hawthorne, FL 32640",Visit Website,,Lee
Ever After Farms,"High Springs, FL 32643",Visit Website,,Lee
Fancy Farms U-Pick,"Hilliard, FL 32046",Visit Website,,Leon
Fancy Farms U-Pick,"Homeland, FL 33847",Visit Website,,Leon
Far Reach Ranch's Heavenly Blueberries,"Homestead, FL 33030",Visit Website,,Levy
Farmer Mike’s U-Pick,"Homestead, FL 33030",Visit Website,,Levy
Favorite Farms,"Homestead, FL 33031",Visit Website,,Manatee
Florida Best Blueberry Farm,"Homestead, FL 33031",Visit Website,,Marion
Florida Sweet Brand Peaches,"Howey-in-the-Hills, FL 34737",Visit Website,,Marion
Flyin' D Ranch,"Hudson, FL 34669",,,Marion
Fresh Gardens,"Hudson, FL 34669",Visit Website,,Miami-Dade
Fresh Gardens,"Hudson, FL 34669",Visit Website,,Miami-Dade
Gainer Blueberry Farm,"Inverness, FL 34450",Visit Website,,Miami-Dade
Graham's U-Pick Peaches Farm,"Inverness, FL 34453",Visit Website,,Miami-Dade
Green Acres Blueberry Farm,"Island Grove, FL 32654",,,Miami-Dade
"Green Acres Fernery, Blueberry and Peach Farm","Jacksonville, FL 32218",Visit Website,,Miami-Dade
Green Meadows Farm,"Jacksonville, FL 32221",Visit Website,,Miami-Dade
Heather Oaks Farm,"Jacksonville, FL 32226",Visit Website,,Nassau
Henscratch Farms Vineyard and Winery,"Jacksonville, FL 32234",Visit Website,,Okaloosa
High Springs Orchard,"Jacksonville, FL 32244",Visit Website,,Okaloosa
Hilda's U-Pick Blueberries,"Jupiter, FL 33478",,,Okaloosa
Hilltop Peaches,"Kenansville, FL 34739",Visit Website,,Okaloosa
Hunsader Farms,"Lady Lake, FL 32159",Visit Website,,Okaloosa
Hydro Harvest Farms,"Lake Alfred, FL 33850",Visit Website,,Orange
JG Ranch,"Lake Butler, FL 32054",Visit Website,,Orange
Jubilee Orchards,"Lake Placid, FL 33852",Visit Website,,Osceola
Jubilee Orchards,"Lake Wales, FL 33898",Visit Website,,Osceola
King Grove Organic Farm,"Lakeland, FL 33811",Visit Website,,Osceola
Knaus Berry Farm,"Lakeland, FL 33812",Visit Website,,Palm Beach
Lake Catherine Blueberries,"Laurel Hill, FL 32567",Visit Website,,Palm Beach
Late Bloom Blueberry Farm,"Lithia, FL 33547",Visit Website,,Palm Beach
Lee Vineyards,"Lithia, FL 33575",,,Pasco
Martinez Farms,"Live Oak, FL 32060",,,Pasco
Misty Meadows Blueberry Farm,"Live Oak, FL 32060",Visit Website,,Pasco
Monticello Vineyards and Winery/Ladybird Organics,"Madison, FL 32340",Visit Website,,Pasco
Myrtle Creek Farm,"Masaryktown, FL 34604",Visit Website,,Pasco
Northeast Florida’s Great Expectations U-Pick Vineyards,"Melbourne, FL 32904",,,Pasco
O'berry Nursery,"Miami, FL 33177",Visit Website,,Polk
Oak Haven Farms and Winery,"Mims, FL 32754",,,Polk
Oponay Farms LLC,"Mims, FL 32754",Visit Website,,Polk
Owen's Blueberry Farm,"Monticello, FL 32344",Visit Website,,Polk
Parke Hydro,"Monticello, FL 32344",Visit Website,,Polk
Paul and Sandra Murray Blueberries,"Monticello, FL 32344",,,Polk
"Premium Peach, LLC","Monticello, FL 32344",Visit Website,,Polk
Raymond Cook,"Morriston, FL 32668",,,Polk
"Red, White and Blues Farm","Myakka City, FL 34251",Visit Website,,Polk
Richard Lyons Nursery,"Ocala, FL 34481",Visit Website,,Putnam
Ridge Island Groves,"Odessa, FL 33556",Visit Website,,Sarasota
Rogers Farm,"Old Town, FL 32680",Visit Website,,Sarasota
Ron's Blueberries,"Orange Heights, FL 32640",Visit Website,,Sarasota
Rooney's Front Porch Farm,"Orlando, FL 32820",Visit Website,,Sarasota
