Result,Location,Website,Products/Services,County
A.L.L. Blueberries LLC,"Alachua, FL 32615",Visit Website,,Alachua
Abshier Blueberry Farm,"Arcadia, FL 34266",Visit Website,,Sarasota
Akers of Strawberries,"Arcadia, FL 34266",Visit Website,,Sarasota
Al & Linda Steichen’s Blueberries,"Arcadia, FL 34266",,,Sarasota
Albritton Fruit Farm,"Baker, FL 32531",Visit Website,,Okaloosa
Allen's Farm,"Baker, FL 32531",,,Okaloosa
Allison Family Farm,"Baker, FL 32531",Visit Website,,Okaloosa
Arthur Family Farm,"Baker, FL 32531",,,Okaloosa
Atwood Family Farms,"Bartow, FL 33830",Visit Website,,Polk
Atwood Family Farms,"Belleview, FL 34420",Visit Website,,Marion
Aunt Zelma’s Blueberries,"Beulah, FL 32526",Visit Website,,Escambia
B&G Blueberries,"Bonifay, FL 32425",,,Holmes
Baker U-Pick Blueberries,"Bonita Springs, FL 34135",Visit Website,,Lee
Baumer's Fruit,"Boynton Beach, FL 33473",,,Palm Beach
Beasley Farms,"Bradenton, FL 34211",Visit Website,,Manatee
Beck Brothers Blueberries,"Bronson, FL 32621",Visit Website,,Levy
Bedner's Farm Fresh Market,"Brooksville, FL 34601",Visit Website,,Hernando
Bekemeyer Family Farms,"Brooksville, FL 34601",Visit Website,,Hernando
Bernetallo Farms,"Brooksville, FL 34602",,,Hernando
Berry Bay Farm,"Brooksville, FL 34602",Visit Website,,Hernando
Berry Kingdom,"Brooksville, FL 34602",Visit Website,,Hernando
Bette’s Blues Blueberry Farms,"Brooksville, FL 34604",Visit Website,,Hernando
Beulah Berries,"Center Hill, FL 33514",Visit Website,,Sumter
Blu By U Blueberry Farm,"Chipley, FL 32428",Visit Website,,Washington
Blue Bayou Farms,"Citra, FL 32113",Visit Website,,Marion
Blue Monkey Farms,"Citrus Springs, FL 34433",Visit Website,,Citrus
Blue Sky Farm,"Clemont, FL 34711",Visit Website,,Lake
Blueberry Blessings,"Clemont, FL 34715",Visit Website,,Lake
Blueberry Cottage Farms,"Clermont, FL 34714",Visit Website,,Lake
Blueberry Hill Farm,"Clermont, FL 34714",Visit Website,,Lake
Blueberry Ranch,"Crescent City, FL 32112",Visit Website,,Putnam
Blueberry Springs,"Dade City, FL 33523",,,Pasco
BlueYouth Blueberries,"Dade City, FL 33523",Visit Website,,Pasco
Bob Roth's New River Groves,"Dade City, FL 33525",Visit Website,,Pasco
"Bob's Berries, LLC","Davie, FL 33314",Visit Website,,Broward
Bob’s Blueberry Farm,"De Leon Springs, FL 32130",Visit Website,,Volusia
Brad's Organic Blueberries,"DeFuniak Springs, FL 32433",,,Walton
Bramble Creek Farms,"Delray Beach, FL 33484",Visit Website,,Palm Beach
Brooksville Ridge Blueberries,"Doral, FL 33178",Visit Website,,Miami-Dade
Brown's Farm,"Dover, FL 33527",Visit Website,,Miami-Dade
C&J's Blueberry Vineyard,"Dover, FL 33527",Visit Website,,Hillsborough
C&W Farms of Central Florida,"Dover, FL 33527",Visit Website,,Hillsborough
Center Hill Berry Patch,"Dundee, FL 33838",Visit Website,,Polk
Claire Berries Blueberry Farm,"Eustis, FL 32736",Visit Website,,Lake
Conner's A-maize-ing Acres,"Eustis, FL 32736",Visit Website,,Lake
Copeland Nursery,"Eustis, FL 32736",Visit Website,,Lake
Crown Jewel Farms,"Fort McCoy, FL 32134",Visit Website,,Marion
D&S Blueberries/Upicktopia,"Fort Ogden, FL 34267",Visit Website,,DeSoto
Dade City Farms,"Ft Myers, FL 33193",Visit Website,,Lee
Deep Spring Farm,"Gainesville, FL 32653",Visit Website,,Alachua
Deer Park Peaches,"Glen Saint Mary, FL 32040",Visit Website,,Baker
Dooley Groves Country Farm Market in the Grove,"Groveland, FL 34736",Visit Website,,Lake
Double C Bar Ranch Blueberry Farm,"Groveland, FL 34736",Visit Website,,Lake
Dowless Blueberries,"Haines City, FL 33844",,,Polk
English Lake Farm,"Haines City, FL 33844",Visit Website,,Polk
Ergle Farms,"Hawthorne, FL 32640",Visit Website,,Alachua
Ever After Farms,"High Springs, FL 32643",Visit Website,,Alachua
Fancy Farms U-Pick,"Hilliard, FL 32046",Visit Website,,Nassau
Fancy Farms U-Pick,"Homeland, FL 33847",Visit Website,,Polk
Far Reach Ranch's Heavenly Blueberries,"Homestead, FL 33030",Visit Website,,Miami-Dade
Farmer Mike’s U-Pick,"Homestead, FL 33030",Visit Website,,Miami-Dade
Favorite Farms,"Homestead, FL 33031",Visit Website,,Miami-Dade
Florida Best Blueberry Farm,"Homestead, FL 33031",Visit Website,,Miami-Dade
Florida Sweet Brand Peaches,"Howey-in-the-Hills, FL 34737",Visit Website,,Lake
Flyin' D Ranch,"Hudson, FL 34669",,,Pasco
Fresh Gardens,"Hudson, FL 34669",Visit Website,,Pasco
Fresh Gardens,"Hudson, FL 34669",Visit Website,,Pasco
Gainer Blueberry Farm,"Inverness, FL 34450",Visit Website,,Citrus
Graham's U-Pick Peaches Farm,"Inverness, FL 34453",Visit Website,,Citrus
Green Acres Blueberry Farm,"Island Grove, FL 32654",,,Alachua
"Green Acres Fernery, Blueberry and Peach Farm","Jacksonville, FL 32218",Visit Website,,Duval
Green Meadows Farm,"Jacksonville, FL 32221",Visit Website,,Duval
Heather Oaks Farm,"Jacksonville, FL 32226",Visit Website,,Duval
Henscratch Farms Vineyard and Winery,"Jacksonville, FL 32234",Visit Website,,Duval
High Springs Orchard,"Jacksonville, FL 32244",Visit Website,,Duval
Hilda's U-Pick Blueberries,"Jupiter, FL 33478",,,Palm Beach
Hilltop Peaches,"Kenansville, FL 34739",Visit Website,,Osceola
Hunsader Farms,"Lady Lake, FL 32159",Visit Website,,Lake
Hydro Harvest Farms,"Lake Alfred, FL 33850",Visit Website,,Polk
JG Ranch,"Lake Butler, FL 32054",Visit Website,,Union
Jubilee Orchards,"Lake Placid, FL 33852",Visit Website,,Highlands
Jubilee Orchards,"Lake Wales, FL 33898",Visit Website,,Polk
King Grove Organic Farm,"Lakeland, FL 33811",Visit Website,,Polk
Knaus Berry Farm,"Lakeland, FL 33812",Visit Website,,Polk
Lake Catherine Blueberries,"Laurel Hill, FL 32567",Visit Website,,Okaloosa
Late Bloom Blueberry Farm,"Lithia, FL 33547",Visit Website,,Hillsborough
Lee Vineyards,"Lithia, FL 33575",,,Hillsborough
Martinez Farms,"Live Oak, FL 32060",,,Suwannee
Misty Meadows Blueberry Farm,"Live Oak, FL 32060",Visit Website,,Suwannee
Monticello Vineyards and Winery/Ladybird Organics,"Madison, FL 32340",Visit Website,,
Myrtle Creek Farm,"Masaryktown, FL 34604",Visit Website,,
Northeast Florida’s Great Expectations U-Pick Vineyards,"Melbourne, FL 32904",,,
O'berry Nursery,"Miami, FL 33177",Visit Website,,Miami-Dade
Oak Haven Farms and Winery,"Mims, FL 32754",,,Brevard
Oponay Farms LLC,"Mims, FL 32754",Visit Website,,Brevard
Owen's Blueberry Farm,"Monticello, FL 32344",Visit Website,,Jefferson
Parke Hydro,"Monticello, FL 32344",Visit Website,,Jefferson
Paul and Sandra Murray Blueberries,"Monticello, FL 32344",,,Jefferson
"Premium Peach, LLC","Monticello, FL 32344",Visit Website,,Jefferson
Raymond Cook,"Morriston, FL 32668",,,Levy
"Red, White and Blues Farm","Myakka City, FL 34251",Visit Website,,
Richard Lyons Nursery,"Ocala, FL 34481",Visit Website,,
Ridge Island Groves,"Odessa, FL 33556",Visit Website,,
Rogers Farm,"Old Town, FL 32680",Visit Website,,
Ron's Blueberries,"Orange Heights, FL 32640",Visit Website,,
Rooney's Front Porch Farm,"Orlando, FL 32820",Visit Website,,Orange
Russell Blueberry Farm,"Palatka, FL 32177",Visit Website,,
"Ryder Berries, LLC","Pinetta, FL 32350",Visit Website,,
Shadrick's U-Pick,"Plant City, FL 33566",Visit Website,,Hillsborough
Shockley Springs Blueberry Farm,"Plant City, FL 33566",Visit Website,,Hillsborough
Sicman's Hot Peppers and Powder,"Plant City, FL 33567",Visit Website,,Hillsborough
Snell's Berry Farm,"Plant City, FL 33567",Visit Website,,Hillsborough
South Moon Farms,"Riverview, FL 33569",Visit Website,,
Southern Hill Farms,"Ruskin, FL 33570",Visit Website,Blueberries,
Spivey Farms,"Ruskin, FL 33570",Visit Website,,
Spring Garden Vineyards,"Ruskin, FL 33570",Visit Website,,
Spring Hill Berry Farm,"Saint Cloud, FL 34772",,,Osceola
Strong Tower Vineyard,"Sarasota, FL 34240",Visit Website,,Sarasota
Sweetfields Farm,"Sorrento, FL 32776",Visit Website,,
Taylor Gardens Nursery Inc.,"Sparr, FL 32113",Visit Website,,
Thayer Berry Hill,"Spring Hill, FL 34610",Visit Website,,
The Girls Strawberry U-Pick,"Springhill, FL 34610",Visit Website,,
The Southern Peach Company,"St. Cloud, FL 34773",Visit Website,,Osceola
The Vintage Berry,"Tallahassee, FL 32309",Visit Website,,Leon
The Wagon Farm,"Tallahassee, FL 32309",,,Leon
Tison Blueberries,"Tavares, FL 32778",Visit Website,,
Tranquility Hills Farm,"Trenton, FL 32693",,,Gilchrist
Tree-O Groves Inc.,"Umatilla, FL 32784",Visit Website,,
U Pick Citrus,"Wacissa, FL 32344",Visit Website,,
V&B Farms LLC,"Waldo, FL 32694",,,Alachua
Valley View Vineyard,"White Springs, FL 32096",Visit Website,,Hamilton
Walter Farms,"Williston, FL 32696",,,
Wet Hammock Farm,"Windermere, FL 34786",Visit Website,,
Wichmann Farms,"Winter Garden, FL 34787",Visit Website,,Orange
William's Blueberries,"Yalaha, FL 34797",Visit Website,,Lake
Williams Blueberry Farm Jacksonville,"Yalaha, FL 34797",,,Lake
Wingate Creek Farms,"Yulee, FL 32097",,,
